window,rank,arm,target,n_fit,lam_lin,lam_quad,train_residual,val_residual,forecast_full_field,forecast_fluctuation,diverged,divergence_step,pod_floor_full_field,pod_floor_fluctuation,floor_ratio,dmd_ref_full_field,dmd_ref_fluctuation,truncation_estimate
post_transient,11,arm2,continuous,160,1.0,100.0,0.0013361274775284258,0.001037951959688905,0.05132100850774643,0.17540093590033107,False,,0.0027329840772117656,0.009340579596585482,18.778378160221465,0.0034696813979192723,0.011858406180368592,19.921448452866663
post_transient,11,arm3,continuous,160,1.0,100.0,0.0013361274775284258,0.001037951959688905,0.05132100850774643,0.17540093590033107,False,,0.0027329840772117656,0.009340579596585482,18.778378160221465,0.0034696813979192723,0.011858406180368592,19.921448452866663
post_transient,15,arm2,discrete,160,1e-08,1e-06,8.575371828702332e-07,1.946305448852e-06,0.000949972618037831,0.0032467422431570613,False,,0.0009499722338662529,0.0032467409301654366,1.0000004044029545,0.002078227830259771,0.007102804816991403,
post_transient,15,arm3,discrete,160,1e-08,1e-06,8.575371828702332e-07,1.946305448852e-06,0.000949972618037831,0.0032467422431570613,False,,0.0009499722338662529,0.0032467409301654366,1.0000004044029545,0.002078227830259771,0.007102804816991403,
post_transient,15,arm2,continuous,160,1.0,100.0,0.001141600006193901,0.0009042302848563469,0.04822188561859789,0.1648089956592358,False,,0.0009499722338662529,0.0032467409301654366,50.761363226735185,0.002078227830259771,0.007102804816991403,19.921448452866663
post_transient,15,arm3,continuous,160,1.0,100.0,0.001141600006193901,0.0009042302848563469,0.04822188561859789,0.1648089956592358,False,,0.0009499722338662529,0.0032467409301654366,50.761363226735185,0.002078227830259771,0.007102804816991403,19.921448452866663
post_transient,23,arm2,discrete,160,0.0,1e-06,6.122063571453809e-07,2.0397550555396155e-06,0.00024104509913254983,0.0008238251197977844,False,,0.0002410426835968648,0.0008238168641685175,1.00001002119479,0.0004068353217089437,0.0013904499981579664,
post_transient,23,arm3,discrete,160,0.0,1e-06,6.122063571453809e-07,2.0397550555396155e-06,0.00024104509913254983,0.0008238251197977844,False,,0.0002410426835968648,0.0008238168641685175,1.00001002119479,0.0004068353217089437,0.0013904499981579664,
post_transient,23,arm2,continuous,160,1.0,100.0,0.001666326094434625,0.001503539567032019,0.04928426153122153,0.16843990110654453,False,,0.0002410426835968648,0.0008238168641685175,204.4627980231405,0.0004068353217089437,0.0013904499981579664,19.921448452866663
post_transient,23,arm3,continuous,160,1.0,100.0,0.001666326094434625,0.001503539567032019,0.04928426153122153,0.16843990110654453,False,,0.0002410426835968648,0.0008238168641685175,204.4627980231405,0.0004068353217089437,0.0013904499981579664,19.921448452866663
